Jomashop values	Normlised	Fix	Attribute			
Silver Composite ABS Plastic 	 Composite / Plastic / Silver /  		 case.material			
Black TR90 Composite and Black Polyurethane 	 Composite / Polyurethane /  		 band.material			
Black TR90 Composite Polyurethane 	 Composite / Polyurethane /  		 case.material			
Composite Resin 	 Composite / Resin /  		 case.material			
Composite Metal with Rose Gold Faceted Crystal Ring 	 Composite / Rose Gold / Base Metal / Crystal /  		 bezel.material			
18kt Rose Gold with Lateral White Composite Resin 	 Composite / Rose Gold / Resin /  		 case.material			
Black Composite Rubber 	 Composite / Rubber /  		 case.material			
Composite + Wood 	 Composite / Wood /  		 case.material			
( Crocodile) Leather 	 Crocodile Leather /  		 band.material			
(Alligator/Crocodile) Leather 	 Crocodile Leather /  		 band.material			
(Crocodile ) Leather 	 Crocodile Leather /  		 band.material			
(Crocodile) Leather 	 Crocodile Leather /  		 band.material			
(Faux Crocodile) Leather 	 Crocodile Leather /  		 band.material			
(Louisiana Crocodile) Leather 	 Crocodile Leather /  		 band.material			
Alligarot/Crocodile Leather 	 Crocodile Leather /  		 band.material			
Alligator-Crocodile Leather 	 Crocodile Leather /  		 band.material			
Alligator/ Crocodile Leather with Red Stitching 	 Crocodile Leather /  		 band.material			
Alligator/Crocodile Black Leather 	 Crocodile Leather /  		 band.material			
Alligator/Crocodile Leather 	 Crocodile Leather /  		 band.material			
Alligator/Crocodile Leather Brown 	 Crocodile Leather /  		 band.material			
Black Crocodile Leather 	 Crocodile Leather /  		 band.material			
Black Crocodile Leather - Interchangable with Burg 	 Crocodile Leather /  		 band.material			
Black Hornback Crocodile Strap 	 Crocodile Leather /  		 band.material			
Black crocodile strap 	 Crocodile Leather /  		 band.material			
Black crocodile-skin 	 Crocodile Leather /  		 band.material			
Brown (Crocodile) Leather 	 Crocodile Leather /  		 band.material			
Brown Croco Leather 	 Crocodile Leather /  		 band.material			
Brown Crocodile Leather 	 Crocodile Leather /  		 band.material			
Brown Crocodile Leather Tang 	 Crocodile Leather /  		 band.material			
Burgundy Crocodile Leather 	 Crocodile Leather /  		 band.material			
Burgundy Crocodile leather 	 Crocodile Leather /  		 band.material			
Camel Crocodile Leather 	 Crocodile Leather /  		 band.material			
Croco Leather 	 Crocodile Leather /  		 band.material			
Croco-Leather 	 Crocodile Leather /  		 band.material			
Crococdile Leather 	 Crocodile Leather /  		 band.material			
Crocodile 	 Crocodile Leather /  		 band.material			
Crocodile  Leather 	 Crocodile Leather /  		 band.material			
Crocodile Bracelet 	 Crocodile Leather /  		 band.material			
Crocodile Deployant 	 Crocodile Leather /  		 band.material			
Crocodile Leather 	 Crocodile Leather /  		 band.material			
Crocodile Leather Black 	 Crocodile Leather /  		 band.material			
Crocodile Leather Blue 	 Crocodile Leather /  		 band.material			
Crocodile strap 	 Crocodile Leather /  		 band.material			
Crocodile with white stitching 	 Crocodile Leather /  		 band.material			
Crocodile) Leather 	 Crocodile Leather /  		 band.material			
Crocodille Leather 	 Crocodile Leather /  		 band.material			
Custom genuine leather faux croco 	 Crocodile Leather /  		 band.material			
Embossed Crocodile Leather 	 Crocodile Leather /  		 band.material			
Genuine leather embossed crocodile strap 	 Crocodile Leather /  		 band.material			
Gray Crocodile Leather 	 Crocodile Leather /  		 band.material			
Hand Stitched Crocodile Leather 	 Crocodile Leather /  		 band.material			
"Leather - Black Crocodile, hand made "	 Crocodile Leather /  		 band.material			
Leather - Crocodile 	 Crocodile Leather /  		 band.material			
Leather Crocodile 	 Crocodile Leather /  		 band.material			
Louisiana Crocodile Leather 	 Crocodile Leather /  		 band.material			
Orange Crocodile 	 Crocodile Leather /  		 band.material			
Purple Crocodile Leather 	 Crocodile Leather /  		 band.material			
White Bandeira Crocodile Leather 	 Crocodile Leather /  		 band.material			
Yellow Crocodile Leather 	 Crocodile Leather /  		 band.material			
leather-crocodile 	 Crocodile Leather /  		 band.material			
Brown Croco-Calf Leather 	 Crocodile Leather / Calfskin Leather /  		 band.material			
Croco Calf Leather 	 Crocodile Leather / Calfskin Leather /  		 band.material			
Black Rubber with Croco Leather Coating 	 Crocodile Leather / Rubber /  		 band.material			
Crocodile Leather (Rubber Lined) 	 Crocodile Leather / Rubber /  		 band.material			
Crocodile Leather with Diamante Rubber 	 Crocodile Leather / Rubber /  		 band.material			
Crocodile Leather with Protective Rubber Lin 	 Crocodile Leather / Rubber /  		 band.material			
Rubber and Black Leather Crocodile. 	 Crocodile Leather / Rubber /  		 band.material			
Rubber and Horn Back Crocodile 	 Crocodile Leather / Rubber /  		 band.material			
Rubber with a Brown (Crocodile) Leather Inlay 	 Crocodile Leather / Rubber /  		 band.material			
Rubberized (Crocodile) Leather 	 Crocodile Leather / Rubber /  		 band.material			
Rubberized Crocodile Leather 	 Crocodile Leather / Rubber /  		 band.material			
Silver Crocodile 	 Crocodile Leather / Silver /  		 band.material			
Transparent Gel Strap With Spare Crystal 	 Crystal /  		 band.material			
Turquoise gel strap and spare crystal clear strap 	 Crystal /  		 band.material			
120 Crystal Set 	 Crystal /  		 bezel.material			
120 White Cubic Zirconia Crystal Set 	 Crystal /  		 bezel.material			
124 Crystal Set 	 Crystal /  		 bezel.material			
22 Crystal Set 	 Crystal /  		 bezel.material			
36 Crystal Set 	 Crystal /  		 bezel.material			
44 Crystal Set 	 Crystal /  		 bezel.material			
48 Black Spinels and Topaz Crystals 	 Crystal /  		 bezel.material			
52 Clear Crystal Set 	 Crystal /  		 bezel.material			
56 Swarovski Crystal Set 	 Crystal /  		 bezel.material			
60 Clear Swarovski Crystal Set 	 Crystal /  		 bezel.material			
60 White Crystals 	 Crystal /  		 bezel.material			
60 White Crystals Set 	 Crystal /  		 bezel.material			
62 Swarovski Crystal Set 	 Crystal /  		 bezel.material			
62 White Crystal Set 	 Crystal /  		 bezel.material			
72 Swarovski Crystal Set 	 Crystal /  		 bezel.material			
74 Swarovski Crystals 	 Crystal /  		 bezel.material			
Ally set with Swarovski Crystals 	 Crystal /  		 bezel.material			
Austrian Crystal Set 	 Crystal /  		 bezel.material			
Baguette Crystal Set 	 Crystal /  		 bezel.material			
Baguette Crystall Set 	 Crystal /  		 bezel.material			
Baguette Crystals 	 Crystal /  		 bezel.material			
Baguette-cut Swarovski Crystal Set 	 Crystal /  		 bezel.material			
Black Swarovski Crystal Set 	 Crystal /  		 bezel.material			
Blue Baguette Crystals 	 Crystal /  		 bezel.material			
Blue Crystal Set 	 Crystal /  		 bezel.material			
Blue Crystal-Set 	 Crystal /  		 bezel.material			
Blue Swarovski Crystal Set 	 Crystal /  		 bezel.material			
Clear Crystal-Set 	 Crystal /  		 bezel.material			
Clear and Black Baguette Crystal Set 	 Crystal /  		 bezel.material			
Clear and Red Crystal Set 	 Crystal /  		 bezel.material			
Crystal 	 Crystal /  		 bezel.material			
Crystal Set 	 Crystal /  		 bezel.material			
Crystal Set 181 pieces 	 Crystal /  		 bezel.material			
Crystal Set Eclair Effect 	 Crystal /  		 bezel.material			
Crystal set 	 Crystal /  		 bezel.material			
Crystal-Encrusted 	 Crystal /  		 bezel.material			
Crystal-Set 	 Crystal /  		 bezel.material			
Crystals 	 Crystal /  		 bezel.material			
Encrusted in crystals 	 Crystal /  		 bezel.material			
Encrusted with White Crystals 	 Crystal /  		 bezel.material			
Green Crystal 	 Crystal /  		 bezel.material			
Green Crystal Set 	 Crystal /  		 bezel.material			
Nickel Compliant set with Swarovski Crystals 	 Crystal /  		 bezel.material			
Orange Crystal-Set 	 Crystal /  		 bezel.material			
Pink Crystal Set 	 Crystal /  		 bezel.material			
Purple Crystal 	 Crystal /  		 bezel.material			
Purple Crystal-Set 	 Crystal /  		 bezel.material			
Rose Gold-tone  set with Crystals 	 Crystal /  		 bezel.material			
Rose Gold-tone set with Baguette Crystals 	 Crystal /  		 bezel.material			
Rose Gold-tone set with Crystals 	 Crystal /  		 bezel.material			
Set With 215 Micro-pavé Crystals 	 Crystal /  		 bezel.material			
Set with Swarovski Crystals 	 Crystal /  		 bezel.material			
Swarovksi Crystal Set 	 Crystal /  		 bezel.material			
Swarovski  Crystal Set 	 Crystal /  		 bezel.material			
Swarovski  Crystals 	 Crystal /  		 bezel.material			
Swarovski Baguette Crystal Set 	 Crystal /  		 bezel.material			
Swarovski Crystal Set 	 Crystal /  		 bezel.material			
Swarovski Crystals 	 Crystal /  		 bezel.material			
Swarovski crystals 	 Crystal /  		 bezel.material			
White Crystal Encrusted 	 Crystal /  		 bezel.material			
White Crystal Set 	 Crystal /  		 bezel.material			
set with Swarovski Crystals 	 Crystal /  		 bezel.material			
Baccarat Crystal 	 Crystal /  		 case.material			
Crystal 	 Crystal /  		 case.material			
Ceramic with Rose Gold-tone Bars set with Crystals 	 Crystal / Ceramic /  		 band.material			
Ceramic set with Black Swarovsk Crystals 	 Crystal / Ceramic /  		 bezel.material			
Ceramic set with Crystals 	 Crystal / Ceramic /  		 bezel.material			
Ceramic set with Swarovski Crystals 	 Crystal / Ceramic /  		 bezel.material			
Swarovski Crystal Set and  Ceramic 	 Crystal / Ceramic /  		 bezel.material			
Diamond  and Crystal Sets 	 Crystal / Diamond /  		 bezel.material			
Diamond and Crystal Sets 	 Crystal / Diamond /  		 bezel.material			
Metalized Crystal set with Four Diamonds 	 Crystal / Diamond /  		 bezel.material			
Black Cloth set with White and Black Crystals 	 Crystal / Fabric /  		 band.material			
Plastic set with Clear Baguette Crystals 	 Crystal / Plastic /  		 band.material			
White Plastic Case Set with Crystals 	 Crystal / Plastic /  		 case.material			
Polycarbonate Set with Pink Crystal 	 Crystal / Polycarbonate / Carbon /  		 case.material			
Resin with Pink Crystal Studs 	 Crystal / Resin /  		 band.material			
Pink Rubber and extra crystal clear strap 	 Crystal / Rubber /  		 band.material			
Rubber with Yellow Gold-tone Crystal-set accents 	 Crystal / Rubber /  		 band.material			
Black Rubber with Black Sapphires Crystals 	 Crystal / Rubber / Sapphire /  		 band.material			
Rubber with Blue Sapphire Crystals 	 Crystal / Rubber / Sapphire /  		 band.material			
Rubber with Ice Sapphire Crystals 	 Crystal / Rubber / Sapphire /  		 band.material			
Rubber with Sapphire Crystals 	 Crystal / Rubber / Sapphire /  		 band.material			
Rubber with a row of Black Sapphire Crystals 	 Crystal / Rubber / Sapphire /  		 band.material			
Sapphire Crystal Inserts 	 Crystal / Sapphire /  		 band.material			
Polished Sapphire Crystal 	 Crystal / Sapphire /  		 bezel.material			
Sapphire Crystal 	 Crystal / Sapphire /  		 bezel.material			
Sapphire Crystal Inserts 	 Crystal / Sapphire /  		 bezel.material			
Polished Sapphire Crystal 	 Crystal / Sapphire /  		 case.material			
Sapphire Crystal 	 Crystal / Sapphire /  		 case.material			
Silicone with  6 Jet Hematite Crystal Inserts 	 Crystal / Silicone /  		 band.material			
Silicone with 6 Jet Hematite Crystal Insertys 	 Crystal / Silicone /  		 band.material			
Silicone with Crystal-set Accents 	 Crystal / Silicone /  		 band.material			
Silicone/Crystal Encrusted 	 Crystal / Silicone /  		 band.material			
White Silicone set with Crystals 	 Crystal / Silicone /  		 band.material			
1286 Diamonds (approx 20.3 ct) 	 Diamond /  		 band.material			
Diamond Bracelet 	 Diamond /  		 band.material			
Diamond Set 	 Diamond /  		 band.material			
Pearlmaster bracelet set with 174 diamonds 	 Diamond /  		 band.material			
Set with 71 Baguette Diamonds Pearlmaster 	 Diamond /  		 band.material			
1.18 ct Diamond Set 	 Diamond /  		 bezel.material			
100 Diamond Set 	 Diamond /  		 bezel.material			
100 Diamond Set (0.6 carats) 	 Diamond /  		 bezel.material			
100 Diamonds (0.60 carats) Set 	 Diamond /  		 bezel.material			
100 White Diamond Set 	 Diamond /  		 bezel.material			
100 diamonds (0.47 carats) 	 Diamond /  		 bezel.material			
100 diamonds (0.60 carats) 	 Diamond /  		 bezel.material			
104 Diamond Set 	 Diamond /  		 bezel.material			
106 Diamond Set 	 Diamond /  		 bezel.material			
108 Diamond Set 	 Diamond /  		 bezel.material			
109 Diamonds (0.60 carats) 	 Diamond /  		 bezel.material			
11 Diamond (1 carat) 	 Diamond /  		 bezel.material			
112 Diamond Set 	 Diamond /  		 bezel.material			
112 Diamond Set (~ 0.59 ct) 	 Diamond /  		 bezel.material			
112 Diamonds 	 Diamond /  		 bezel.material			
114 Diamond Set 	 Diamond /  		 bezel.material			
114 Diamond Set (1.18ctw) 	 Diamond /  		 bezel.material			
114 Diamond Set (1.78 ct) 	 Diamond /  		 bezel.material			
114 Diamond Set (1.78ct) 	 Diamond /  		 bezel.material			
114 Diamond Set 1.78ct. 	 Diamond /  		 bezel.material			
114 Round Diamonds 	 Diamond /  		 bezel.material			
116 Diamond Set 	 Diamond /  		 bezel.material			
116 Diamonds (0.65) 	 Diamond /  		 bezel.material			
118 Diamond Set 	 Diamond /  		 bezel.material			
12 Diamond Set 	 Diamond /  		 bezel.material			
12 Diamonds 	 Diamond /  		 bezel.material			
12 Floating Diamonds 	 Diamond /  		 bezel.material			
12 Star Shaped Diamonds 	 Diamond /  		 bezel.material			
120 Diamond Set 	 Diamond /  		 bezel.material			
120 Diamonds (0.67 ct) 	 Diamond /  		 bezel.material			
124 Diamond Set 	 Diamond /  		 bezel.material			
126 Brilliant Cut Diamonds 	 Diamond /  		 bezel.material			
126 Diamond Set (0.78ct) 	 Diamond /  		 bezel.material			
126 Diamond Set 1.41 carats 	 Diamond /  		 bezel.material			
126 Diamonds (0.57 ct) 	 Diamond /  		 bezel.material			
130 diamonds (1.80 ct.) 	 Diamond /  		 bezel.material			
138 Diamond Set (0.8 ctw) 	 Diamond /  		 bezel.material			
138 Diamond Set 1.95ct 	 Diamond /  		 bezel.material			
139 brilliant-cut diamonds (approx. 1.255 ct) 	 Diamond /  		 bezel.material			
14 Diamond Set 	 Diamond /  		 bezel.material			
148 Diamond Set 	 Diamond /  		 bezel.material			
152 Diamond Set 	 Diamond /  		 bezel.material			
156 Diamond Set 	 Diamond /  		 bezel.material			
16 Diamond Set 	 Diamond /  		 bezel.material			
160 Diamond Set (0.77 ct) 	 Diamond /  		 bezel.material			
160 Diamond Set (~0.77 ct) 	 Diamond /  		 bezel.material			
162 Diamond Set 	 Diamond /  		 bezel.material			
164 Diamond Set (0.90ct) 	 Diamond /  		 bezel.material			
164 Diamonds for 0.90ct 	 Diamond /  		 bezel.material			
187 Diamond Set 	 Diamond /  		 bezel.material			
2 Rows Diamond Set 	 Diamond /  		 bezel.material			
2 Rows od White Diamond 	 Diamond /  		 bezel.material			
2 Rows of Diamond Set 	 Diamond /  		 bezel.material			
2.40 ct  Diamond Set 	 Diamond /  		 bezel.material			
2.40 ct Diamond Set 	 Diamond /  		 bezel.material			
20 Diamond Set 	 Diamond /  		 bezel.material			
20 Diamonds 	 Diamond /  		 bezel.material			
232  Diamond Set 	 Diamond /  		 bezel.material			
232 Diamond Set 	 Diamond /  		 bezel.material			
24 Baguette Diamond Set 	 Diamond /  		 bezel.material			
24 Diamond Set 	 Diamond /  		 bezel.material			
243 diamonds (2.54 ct.) 	 Diamond /  		 bezel.material			
25 Diamond Set 	 Diamond /  		 bezel.material			
26 Diamond Set 	 Diamond /  		 bezel.material			
273 Graduated Size Diamond Set 	 Diamond /  		 bezel.material			
28 Diamond Set 	 Diamond /  		 bezel.material			
29 Diamond Set 	 Diamond /  		 bezel.material			
30 Baguette Diamond Set 	 Diamond /  		 bezel.material			
30 Diamond Set 	 Diamond /  		 bezel.material			
30 Diamond Set (~0.28ctw) 	 Diamond /  		 bezel.material			
300 diamond set (3.55 ct) 	 Diamond /  		 bezel.material			
312 Diamond Set 	 Diamond /  		 bezel.material			
32 Diamond Set 	 Diamond /  		 bezel.material			
32 Diamond Set (~1.65 carats) 	 Diamond /  		 bezel.material			
34 Diamond Set 	 Diamond /  		 bezel.material			
35 Diamond Set 	 Diamond /  		 bezel.material			
352 Diamonds 	 Diamond /  		 bezel.material			
